Gene stable ID,Transcript stable ID,Gene type,Gene name,miRBase accession,miRBase ID
ENSG00000263561,ENST00000581678,miRNA,MIR4704,MI0017337,hsa-mir-4704
ENSG00000207598,ENST00000384866,miRNA,MIR124-3,MI0000445,hsa-mir-124-3
ENSG00000266463,ENST00000579556,miRNA,MIR3196,MI0014241,hsa-mir-3196
ENSG00000266104,ENST00000582203,miRNA,MIR4326,MI0015866,hsa-mir-4326
ENSG00000263892,ENST00000578933,miRNA,MIR4667,MI0017297,hsa-mir-4667
ENSG00000216141,ENST00000401322,miRNA,MIR941-2,MI0005766,hsa-mir-941-4
ENSG00000216141,ENST00000401322,miRNA,MIR941-2,MI0005765,hsa-mir-941-3
ENSG00000216141,ENST00000401322,miRNA,MIR941-2,MI0005764,hsa-mir-941-2
ENSG00000216141,ENST00000401322,miRNA,MIR941-2,MI0005763,hsa-mir-941-1
ENSG00000263448,ENST00000582432,miRNA,AL133410.1,,
ENSG00000216195,ENST00000401376,miRNA,MIR941-3,MI0005766,hsa-mir-941-4
ENSG00000216195,ENST00000401376,miRNA,MIR941-3,MI0005765,hsa-mir-941-3
ENSG00000216195,ENST00000401376,miRNA,MIR941-3,MI0005764,hsa-mir-941-2
ENSG00000216195,ENST00000401376,miRNA,MIR941-3,MI0005763,hsa-mir-941-1
ENSG00000215946,ENST00000401127,miRNA,MIR941-1,MI0005763,hsa-mir-941-1
ENSG00000272045,ENST00000607800,miRNA,MIR1914,MI0008335,hsa-mir-1914
ENSG00000207554,ENST00000384823,miRNA,MIR647,MI0003662,hsa-mir-647
ENSG00000211588,ENST00000390233,miRNA,AL023913.1,,
ENSG00000266582,ENST00000584505,miRNA,MIR4527,MI0016894,hsa-mir-4527
ENSG00000266542,ENST00000583188,miRNA,MIR5572,MI0019117,hsa-mir-5572
ENSG00000208003,ENST00000385268,miRNA,MIR549,MI0003679,hsa-mir-549a
ENSG00000266255,ENST00000580479,miRNA,MIR4475,MI0016827,hsa-mir-4475
ENSG00000265007,ENST00000581194,miRNA,MIR4327,MI0015867,hsa-mir-4327
ENSG00000264922,ENST00000583532,miRNA,MIR4540,MI0016911,hsa-mir-4540
ENSG00000266276,ENST00000584576,miRNA,MIR4743,MI0017381,hsa-mir-4743
ENSG00000265368,ENST00000577752,miRNA,MIR4476,MI0016828,hsa-mir-4476
ENSG00000265855,ENST00000581410,miRNA,MIR4514,MI0016880,hsa-mir-4514
ENSG00000220981,ENST00000408054,miRNA,AL391384.1,,
ENSG00000216070,ENST00000401251,miRNA,AL158155.1,,
ENSG00000265959,ENST00000581553,miRNA,AL354720.1,,
ENSG00000221328,ENST00000408401,miRNA,AL117333.1,,
ENSG00000212111,ENST00000390822,miRNA,AL121584.1,,
ENSG00000222521,ENST00000410589,miRNA,AC026956.1,,
ENSG00000221448,ENST00000408521,miRNA,AL118509.1,,
ENSG00000266534,ENST00000579276,miRNA,AL162571.1,,
ENSG00000263849,ENST00000581563,miRNA,MIR4744,MI0017382,hsa-mir-4744
ENSG00000221220,ENST00000408293,miRNA,AL035045.1,,
ENSG00000264908,ENST00000579275,miRNA,AC000403.1,,
ENSG00000221792,ENST00000408865,miRNA,MIR1282,MI0006429,hsa-mir-1282
ENSG00000251713,ENST00000515904,miRNA,AL050321.1,,
ENSG00000266325,ENST00000578708,miRNA,MIR3665,MI0016066,hsa-mir-3665
ENSG00000265137,ENST00000584920,miRNA,MIR3192,MI0014237,hsa-mir-3192
ENSG00000221529,ENST00000408602,miRNA,AC105227.1,,
ENSG00000264134,ENST00000578930,miRNA,AL121893.1,,
ENSG00000264669,ENST00000584556,miRNA,AL136090.1,,
ENSG00000263868,ENST00000580901,miRNA,AL139319.1,,
ENSG00000221748,ENST00000408821,miRNA,AL049647.1,,
ENSG00000216017,ENST00000401198,miRNA,AL139429.1,,
ENSG00000239120,ENST00000459075,miRNA,AL121761.1,,
ENSG00000264055,ENST00000581586,miRNA,AP000261.1,,
ENSG00000264158,ENST00000583240,miRNA,MIR4670,MI0017301,hsa-mir-4670
ENSG00000238980,ENST00000401112,miRNA,AL354806.1,,
ENSG00000266052,ENST00000579472,miRNA,MIR4500,MI0016863,hsa-mir-4500
ENSG00000223059,ENST00000411127,miRNA,AL354896.1,,
ENSG00000266353,ENST00000584750,miRNA,AL591471.1,,
ENSG00000207858,ENST00000385123,miRNA,MIR622,MI0003636,hsa-mir-622
ENSG00000221291,ENST00000408364,miRNA,AC090660.1,,
ENSG00000263872,ENST00000577763,miRNA,hsa-mir-4528,MI0016895,hsa-mir-4528
ENSG00000266892,ENST00000581654,miRNA,AP000301.1,,
ENSG00000221095,ENST00000408168,miRNA,AC135995.1,,
ENSG00000263741,ENST00000579177,miRNA,MIR548AS,MI0019132,hsa-mir-548as
ENSG00000221058,ENST00000408131,miRNA,AC090666.1,,
ENSG00000264804,ENST00000579333,miRNA,AC098848.1,,
ENSG00000254849,ENST00000524687,miRNA,hsa-mir-939,MI0005761,hsa-mir-939
ENSG00000266624,ENST00000579254,miRNA,AC233992.1,,
ENSG00000264571,ENST00000578110,miRNA,MIR4529,MI0016896,hsa-mir-4529
ENSG00000265151,ENST00000581262,miRNA,AL158175.1,,
ENSG00000221177,ENST00000408250,miRNA,AC126339.1,,
ENSG00000263087,ENST00000572505,miRNA,AC215219.2,,
ENSG00000211519,ENST00000390185,miRNA,MIR147B,MI0005544,hsa-mir-147b
ENSG00000263259,ENST00000571400,miRNA,AL035045.2,,
ENSG00000263875,ENST00000582353,miRNA,AL353629.1,,
ENSG00000265347,ENST00000584984,miRNA,MIR4291,MI0015900,hsa-mir-4291
ENSG00000252500,ENST00000516691,miRNA,AC087433.1,,
ENSG00000222311,ENST00000410379,miRNA,AC084882.1,,
ENSG00000199165,ENST00000362295,miRNA,MIRLET7A1,MI0000060,hsa-let-7a-1
ENSG00000199072,ENST00000362202,miRNA,MIRLET7F1,MI0000067,hsa-let-7f-1
ENSG00000199133,ENST00000362263,miRNA,MIRLET7D,MI0000065,hsa-let-7d
ENSG00000266636,ENST00000581316,miRNA,AC090340.1,,
ENSG00000221202,ENST00000408275,miRNA,AC012050.1,,
ENSG00000266143,ENST00000583682,miRNA,AC066612.1,,
ENSG00000252153,ENST00000516344,miRNA,MIR2278,MI0011285,hsa-mir-2278
ENSG00000221319,ENST00000408392,miRNA,AL441988.1,,
ENSG00000207563,ENST00000384832,miRNA,MIR23B,MI0000439,hsa-mir-23b
ENSG00000207864,ENST00000385129,miRNA,MIR27B,MI0000440,hsa-mir-27b
ENSG00000207617,ENST00000384885,miRNA,MIR3074,MI0014181,hsa-mir-3074
ENSG00000207617,ENST00000384885,miRNA,MIR3074,MI0000080,hsa-mir-24-1
ENSG00000265200,ENST00000577323,miRNA,AC090324.1,,
ENSG00000264395,ENST00000578262,miRNA,MIR3193,MI0014238,hsa-mir-3193
ENSG00000207778,ENST00000385044,miRNA,MIR122,MI0017383,hsa-mir-3591
ENSG00000207778,ENST00000385044,miRNA,MIR122,MI0000442,hsa-mir-122
ENSG00000252330,ENST00000516521,miRNA,AC105105.1,,
ENSG00000265736,ENST00000583886,miRNA,AL049539.1,,
ENSG00000221667,ENST00000408740,miRNA,MIR1825,MI0008193,hsa-mir-1825
ENSG00000264308,ENST00000581364,miRNA,AL121897.1,,
ENSG00000266007,ENST00000582110,miRNA,AP000318.1,,
ENSG00000263856,ENST00000579962,miRNA,AL121756.1,,
ENSG00000211590,ENST00000390235,miRNA,MIR802,MI0003906,hsa-mir-802
ENSG00000221517,ENST00000408590,miRNA,AC010724.1,,
ENSG00000238638,ENST00000459322,miRNA,AL353626.1,,
ENSG00000264898,ENST00000578257,miRNA,AL353626.2,,
ENSG00000264616,ENST00000583905,miRNA,MIR4755,MI0017395,hsa-mir-4755
ENSG00000265285,ENST00000582107,miRNA,AL591379.1,,
ENSG00000265601,ENST00000584771,miRNA,AL845321.1,,
ENSG00000266697,ENST00000577648,miRNA,AC105339.2,,
ENSG00000207997,ENST00000385262,miRNA,MIR644A,MI0003659,hsa-mir-644a
ENSG00000207635,ENST00000384903,miRNA,MIR499A,MI0017396,hsa-mir-499b
ENSG00000207635,ENST00000384903,miRNA,MIR499A,MI0003183,hsa-mir-499a
ENSG00000264888,ENST00000578222,miRNA,AL121753.1,,
ENSG00000264770,ENST00000578480,miRNA,MIR3135B,MI0016809,hsa-mir-3135b
ENSG00000265367,ENST00000577254,miRNA,AL160269.1,,
ENSG00000263643,ENST00000584082,miRNA,MIR4515,MI0016881,hsa-mir-4515
ENSG00000223180,ENST00000411248,miRNA,AC087738.1,,
ENSG00000221484,ENST00000408557,miRNA,AC027807.1,,
ENSG00000221763,ENST00000408836,miRNA,MIR1289-1,MI0006350,hsa-mir-1289-1
ENSG00000266017,ENST00000581659,miRNA,MIR4477A,MI0016830,hsa-mir-4477b
ENSG00000266017,ENST00000581659,miRNA,MIR4477A,MI0016829,hsa-mir-4477a
ENSG00000263754,ENST00000580239,miRNA,CR786580.2,,
ENSG00000263614,ENST00000578094,miRNA,CR786580.1,,
ENSG00000266021,ENST00000583495,miRNA,AL353763.2,,
ENSG00000238919,ENST00000459317,miRNA,AL353763.1,,
ENSG00000239070,ENST00000459575,miRNA,MIR1299,MI0006359,hsa-mir-1299
ENSG00000221471,ENST00000408544,miRNA,AC098847.1,,
ENSG00000264830,ENST00000584222,miRNA,BX088556.1,,
ENSG00000264681,ENST00000580681,miRNA,AL445665.2,,
ENSG00000239028,ENST00000458761,miRNA,AL359955.1,,
ENSG00000253011,ENST00000517202,miRNA,AC010928.1,,
ENSG00000264210,ENST00000579628,miRNA,MIR4716,MI0017350,hsa-mir-4716
ENSG00000265441,ENST00000578418,miRNA,AL132768.1,,
ENSG00000221597,ENST00000408670,miRNA,BX088702.1,,
ENSG00000239867,ENST00000492089,miRNA,BX088702.2,,
ENSG00000264109,ENST00000583750,miRNA,MIR4712,MI0017346,hsa-mir-4712
ENSG00000264867,ENST00000577274,miRNA,BX248408.2,,
ENSG00000221008,ENST00000408081,miRNA,AC136698.1,,
ENSG00000221247,ENST00000408320,miRNA,AC136704.1,,
ENSG00000264757,ENST00000583102,miRNA,MIR3198-1,MI0014246,hsa-mir-3198-1
ENSG00000266593,ENST00000582691,miRNA,MIR4713,MI0017347,hsa-mir-4713
ENSG00000266851,ENST00000580944,miRNA,CR759848.2,,
ENSG00000263437,ENST00000583261,miRNA,AC020892.1,,
ENSG00000266320,ENST00000579518,miRNA,MIR3909,MI0016413,hsa-mir-3909
ENSG00000207935,ENST00000385200,miRNA,MIR204,MI0000284,hsa-mir-204
ENSG00000266856,ENST00000578096,miRNA,MIR5004,MI0017870,hsa-mir-5004
ENSG00000264789,ENST00000581244,miRNA,CR759798.1,,
ENSG00000207780,ENST00000385046,miRNA,MIR648,MI0003663,hsa-mir-648
ENSG00000265034,ENST00000577742,miRNA,MIR4739,MI0017377,hsa-mir-4739
ENSG00000221052,ENST00000408125,miRNA,MIR1266,MI0006403,hsa-mir-1266
ENSG00000266879,ENST00000579669,miRNA,MIR4752,MI0017391,hsa-mir-4752
ENSG00000263646,ENST00000579985,miRNA,CU234142.2,,
ENSG00000265951,ENST00000582883,miRNA,CU459007.1,,
ENSG00000265459,ENST00000579748,miRNA,hsa-mir-219a-1,MI0000296,hsa-mir-219a-1
ENSG00000221110,ENST00000408183,miRNA,AL449083.1,,
ENSG00000265974,ENST00000577693,miRNA,MIR3147,MI0014173,hsa-mir-3147
ENSG00000263473,ENST00000583129,miRNA,MIR548O2,MI0016746,hsa-mir-548o-2
ENSG00000252575,ENST00000516766,miRNA,BX470187.1,,
ENSG00000211534,ENST00000390200,miRNA,AL121588.1,,
ENSG00000263518,ENST00000584209,miRNA,AL009050.1,,
ENSG00000264310,ENST00000408586,miRNA,AL157883.1,,
ENSG00000264691,ENST00000584697,miRNA,AP001427.1,,
ENSG00000238826,ENST00000459505,miRNA,AL359253.1,,
ENSG00000241781,ENST00000463508,miRNA,AL161626.1,,
ENSG00000265488,ENST00000578375,miRNA,AL359314.1,,
ENSG00000252142,ENST00000516333,miRNA,AL022314.1,,
ENSG00000207945,ENST00000385210,miRNA,MIR658,MI0003682,hsa-mir-658
ENSG00000207696,ENST00000384963,miRNA,MIR659,MI0003683,hsa-mir-659
ENSG00000221269,ENST00000408342,miRNA,MIR1302-8,MI0006369,hsa-mir-1302-8
ENSG00000264505,ENST00000578108,miRNA,MIR4534,MI0016901,hsa-mir-4534
ENSG00000207964,ENST00000385229,miRNA,MIR628,MI0003642,hsa-mir-628
ENSG00000265311,ENST00000579493,miRNA,AL020993.1,,
ENSG00000221218,ENST00000408291,miRNA,AC009997.1,,
ENSG00000221581,ENST00000408654,miRNA,AL353707.1,,
ENSG00000221536,ENST00000408609,miRNA,AC091643.1,,
ENSG00000266608,ENST00000582499,miRNA,AL445531.1,,
ENSG00000266151,ENST00000578301,miRNA,MIR3646,MI0016046,hsa-mir-3646
ENSG00000265893,ENST00000581483,miRNA,AL132772.1,,
ENSG00000264409,ENST00000583185,miRNA,AC113195.1,,
ENSG00000263404,ENST00000581036,miRNA,AL158154.1,,
ENSG00000263354,ENST00000578054,miRNA,MIR5011,MI0017879,hsa-mir-5011
ENSG00000265580,ENST00000583172,miRNA,AC091042.1,,
ENSG00000266071,ENST00000577518,miRNA,MIR3617,MI0016007,hsa-mir-3617
ENSG00000265087,ENST00000585066,miRNA,MIR4761,MI0017402,hsa-mir-4761
ENSG00000208023,ENST00000385288,miRNA,MIR185,MI0000482,hsa-mir-185
ENSG00000266567,ENST00000580330,miRNA,MIR3618,MI0016008,hsa-mir-3618
ENSG00000222586,ENST00000410654,miRNA,AC010999.1,,
ENSG00000221366,ENST00000408439,miRNA,MIR1306,MI0006443,hsa-mir-1306
ENSG00000264059,ENST00000581042,miRNA,AC013558.1,,
ENSG00000221039,ENST00000408112,miRNA,MIR1286,MI0006348,hsa-mir-1286
ENSG00000266136,ENST00000408058,miRNA,AL031055.1,,
ENSG00000252124,ENST00000516315,miRNA,AL031594.1,,
ENSG00000264901,ENST00000584070,miRNA,MIR3616,MI0016006,hsa-mir-3616
ENSG00000266594,ENST00000584704,miRNA,MIR4766,MI0017407,hsa-mir-4766
ENSG00000263770,ENST00000577832,miRNA,AL031666.1,,
ENSG00000266175,ENST00000582149,miRNA,AL080243.1,,
ENSG00000221160,ENST00000408233,miRNA,MIR1281,MI0006428,hsa-mir-1281
ENSG00000207603,ENST00000384871,miRNA,MIR7-1,MI0000263,hsa-mir-7-1
ENSG00000221294,ENST00000408367,miRNA,AL021394.1,,
ENSG00000207932,ENST00000385197,miRNA,MIR33A,MI0000091,hsa-mir-33a
ENSG00000263463,ENST00000582688,miRNA,MIR378I,MI0016902,hsa-mir-378i
ENSG00000251876,ENST00000516067,miRNA,AL035106.1,,
ENSG00000266142,ENST00000578939,miRNA,CT009552.1,,
ENSG00000222408,ENST00000410476,miRNA,AL160279.1,,
ENSG00000221096,ENST00000408169,miRNA,AC092757.1,,
ENSG00000253030,ENST00000517221,miRNA,MIR2116,MI0010635,hsa-mir-2116
ENSG00000265225,ENST00000583835,miRNA,AL118525.1,,
ENSG00000207725,ENST00000384992,miRNA,MIR222,MI0000299,hsa-mir-222
ENSG00000215983,ENST00000401164,miRNA,AC092756.1,,
ENSG00000221266,ENST00000408339,miRNA,AC044860.1,,
ENSG00000263475,ENST00000584776,miRNA,AL353805.1,,
ENSG00000265106,ENST00000580472,miRNA,Z93241.1,,
ENSG00000263973,ENST00000585040,miRNA,MIR4760,MI0017401,hsa-mir-4760
ENSG00000208018,ENST00000385283,miRNA,MIR645,MI0003660,hsa-mir-645
ENSG00000221091,ENST00000408164,miRNA,MIR1302-5,MI0006366,hsa-mir-1302-5
ENSG00000265873,ENST00000581736,miRNA,MIR4289,MI0015898,hsa-mir-4289
ENSG00000266785,ENST00000581470,miRNA,hsa-mir-877,MI0005561,hsa-mir-877
ENSG00000265473,ENST00000577377,miRNA,BX908728.1,,
ENSG00000265062,ENST00000582676,miRNA,AL133228.1,,
ENSG00000265112,ENST00000580744,miRNA,MIR3153,MI0014180,hsa-mir-3153
ENSG00000265582,ENST00000584882,miRNA,AL034553.1,,
ENSG00000264913,ENST00000582777,miRNA,AL590233.1,,
ENSG00000263750,ENST00000583040,miRNA,MIR548AV,MI0019152,hsa-mir-548av
ENSG00000263592,ENST00000580154,miRNA,AL035457.1,,
ENSG00000263645,ENST00000516531,miRNA,AL079339.1,,
ENSG00000266761,ENST00000582236,miRNA,MIR3194,MI0014239,hsa-mir-3194
ENSG00000272188,ENST00000607451,miRNA,MIR4640,MI0017267,hsa-mir-4640
ENSG00000221396,ENST00000408469,miRNA,AF064863.1,,
ENSG00000263967,ENST00000583807,miRNA,MIR4290,MI0015899,hsa-mir-4290
ENSG00000221634,ENST00000408707,miRNA,MIR1276,MI0006416,hsa-mir-1276
ENSG00000266837,ENST00000581142,miRNA,Z97055.1,,
ENSG00000252629,ENST00000516820,miRNA,AL050316.1,,
ENSG00000265068,ENST00000584534,miRNA,AL591377.1,,
ENSG00000221494,ENST00000408567,miRNA,MIR548I4,MI0006424,hsa-mir-548i-4
ENSG00000221598,ENST00000408671,miRNA,MIR1249,MI0006384,hsa-mir-1249
ENSG00000266855,ENST00000580936,miRNA,MIR3910-2,MI0016431,hsa-mir-3910-2
ENSG00000266855,ENST00000580936,miRNA,MIR3910-2,MI0016414,hsa-mir-3910-1
ENSG00000265595,ENST00000577874,miRNA,MIR4756,MI0017397,hsa-mir-4756
ENSG00000238643,ENST00000459109,miRNA,CT978678.1,,
ENSG00000264160,ENST00000585261,miRNA,MIR4762,MI0017403,hsa-mir-4762
ENSG00000222117,ENST00000410185,miRNA,AL391867.1,,
ENSG00000221485,ENST00000408558,miRNA,AC145212.2,,
ENSG00000265610,ENST00000578136,miRNA,CR536603.1,,
ENSG00000266418,ENST00000584593,miRNA,MIR4646,MI0017273,hsa-mir-4646
ENSG00000223061,ENST00000411129,miRNA,AC145212.3,,
ENSG00000215977,ENST00000401158,miRNA,AC130365.1,,
ENSG00000265283,ENST00000578976,miRNA,MIR3118-5,MI0014243,hsa-mir-3118-5
ENSG00000212084,ENST00000390795,miRNA,AL121914.1,,
ENSG00000264517,ENST00000584664,miRNA,AC003001.1,,
ENSG00000266533,ENST00000579667,miRNA,MIR3619,MI0016009,hsa-mir-3619
ENSG00000198986,ENST00000362116,miRNA,MIRLET7A3,MI0000062,hsa-let-7a-3
ENSG00000199051,ENST00000362181,miRNA,MIR361,MI0000760,hsa-mir-361
ENSG00000264147,ENST00000581461,miRNA,MIR4763,MI0017404,hsa-mir-4763
ENSG00000207875,ENST00000385140,miRNA,MIRLET7B,MI0000063,hsa-let-7b
ENSG00000221416,ENST00000408489,miRNA,AL133232.1,,
ENSG00000264406,ENST00000584739,miRNA,MIR548AP,MI0017875,hsa-mir-548ap
ENSG00000251772,ENST00000515963,miRNA,AL117380.2,,
ENSG00000221672,ENST00000408745,miRNA,Z97351.1,,
ENSG00000238644,ENST00000459516,miRNA,AL117380.1,,
ENSG00000266349,ENST00000578388,miRNA,AC018618.1,,
ENSG00000266666,ENST00000583049,miRNA,MIR4325,MI0015865,hsa-mir-4325
ENSG00000263858,ENST00000584126,miRNA,MIR4769,MI0017410,hsa-mir-4769
ENSG00000263453,ENST00000582082,miRNA,MIR4532,MI0016899,hsa-mir-4532
ENSG00000221007,ENST00000408080,miRNA,AL354984.1,,
ENSG00000221451,ENST00000408524,miRNA,AL354984.3,,
ENSG00000221385,ENST00000408458,miRNA,AL354984.2,,
ENSG00000266508,ENST00000578320,miRNA,MIR3201,MI0014250,hsa-mir-3201
ENSG00000266887,ENST00000580946,miRNA,MIR4535,MI0016903,hsa-mir-4535
ENSG00000251912,ENST00000516103,miRNA,AL954742.1,,
ENSG00000207944,ENST00000385209,miRNA,MIR574,MI0003581,hsa-mir-574
ENSG00000264139,ENST00000581025,miRNA,MIR3667,MI0016068,hsa-mir-3667
ENSG00000266194,ENST00000582720,miRNA,MIR4661,MI0017289,hsa-mir-4661
ENSG00000221391,ENST00000408464,miRNA,AC013489.1,,
ENSG00000264621,ENST00000578248,miRNA,MIR5591,MI0019151,hsa-mir-5591
ENSG00000265207,ENST00000578857,miRNA,BX927160.1,,
ENSG00000221630,ENST00000408703,miRNA,MIR1179,MI0006272,hsa-mir-1179
ENSG00000207703,ENST00000384970,miRNA,MIR7-2,MI0017351,hsa-mir-3529
ENSG00000207703,ENST00000384970,miRNA,MIR7-2,MI0000264,hsa-mir-7-2
ENSG00000221174,ENST00000408247,miRNA,AL050327.1,,
